run_id,architecture,temporal_bin,target,temperature,auroc,ece_raw_width,ece_calib_width,ece_raw_mass,ece_calib_mass,ece_delta_pct,brier_uncalibrated,brier_recalibrated,brier_delta_pct
anchor_densenet121_unweighted_bce_seed42,densenet121,T1_2015,Pleural Effusion,1.1734588146209717,0.9293468391782997,0.025949669391721754,0.01732473493320248,0.021032028992735558,0.015489724667868247,-33.23716509957052,0.03696313872933388,0.03600876033306122,-2.5819733634126325
anchor_densenet121_unweighted_bce_seed42,densenet121,T1_2015,Cardiomegaly,1.2588517665863037,0.9128529009756328,0.02445521154909327,0.009742670323245698,0.014257125293248903,0.003930025042702324,-60.161169312776074,0.053067974746227264,0.05212099105119705,-1.7844730264509217
anchor_densenet121_unweighted_bce_seed42,densenet121,T1_2015,Pneumonia,1.1578006744384766,0.8498633132859487,0.01317392352387555,0.007260622723328426,0.013381039299912943,0.00980527819213103,-44.88640601131657,0.02307804673910141,0.02273574098944664,-1.4832526925894347
anchor_densenet121_unweighted_bce_seed42,densenet121,T1_2015,Edema,1.0000061988830566,0.5726666666666667,0.0012516635470092297,0.0012516297865658998,0.0020455201035468307,0.002045521502668175,-0.002697245870144539,0.0021228226833045483,0.0021228226833045483,0.0
anchor_densenet121_unweighted_bce_seed42,densenet121,T2_2016,Pleural Effusion,1.1734588146209717,0.8905867698741048,0.018712293124001578,0.011463968306107124,0.01140192493888967,0.0060231026830777695,-38.73563100931383,0.03460174798965454,0.03410223126411438,-1.4436170267742252
anchor_densenet121_unweighted_bce_seed42,densenet121,T2_2016,Cardiomegaly,1.2588517665863037,0.9040816123049926,0.033829493188853546,0.018995028773076496,0.033491050902826655,0.019512947366587166,-43.85068476481003,0.06726861745119095,0.06566023081541061,-2.390991069420082
anchor_densenet121_unweighted_bce_seed42,densenet121,T2_2016,Pneumonia,1.1578006744384766,0.8807930502830934,0.008201174778106491,0.0031129920919168138,0.007222080771740471,0.004032053196642609,-62.04211986522802,0.018112577497959137,0.0179910846054554,-0.6707653425771556
anchor_densenet121_unweighted_bce_seed42,densenet121,T2_2016,Edema,1.0000061988830566,0.9088788664782625,0.002327204216271639,0.002327168360352516,0.002803396063607482,0.002803382929151722,-0.0015407293812891023,0.0032349699176847935,0.0032349692191928625,-2.1591914259947934e-05
anchor_densenet121_unweighted_bce_seed42,densenet121,T3_2017,Pleural Effusion,1.1734588146209717,0.8868091175219557,0.01382245528335838,0.007948990259778323,0.007025037082351107,0.007021724741709227,-42.49219768250179,0.027137819677591324,0.027009347453713417,-0.4734065794681028
anchor_densenet121_unweighted_bce_seed42,densenet121,T3_2017,Cardiomegaly,1.2588517665863037,0.9146966493689539,0.03235296437085556,0.01596864402807992,0.029439350814087457,0.017925491960155693,-50.64240838943057,0.06662046909332275,0.06486226618289948,-2.6391331888707765
anchor_densenet121_unweighted_bce_seed42,densenet121,T3_2017,Pneumonia,1.1578006744384766,0.8657334450963956,0.008696993698797239,0.0026013378378107826,0.008714226942619759,0.0037928001847577306,-70.08922936013467,0.01837540976703167,0.018200291320681572,-0.9530043061368202
anchor_densenet121_unweighted_bce_seed42,densenet121,T3_2017,Edema,1.0000061988830566,,0.0009143664501607418,0.0009144016075879335,0.0009143665451185597,0.0009144016364289216,0.0038450040665374136,3.2848233786353376e-06,3.285033926658798e-06,0.006409721290643759
