run_id,architecture,temporal_bin,target,temperature,auroc,ece_raw_width,ece_calib_width,ece_raw_mass,ece_calib_mass,ece_delta_pct,brier_uncalibrated,brier_recalibrated,brier_delta_pct
anchor_resnet50_unweighted_bce_seed123,resnet50,T1_2015,Pleural Effusion,1.0369319915771484,0.9366388605152649,0.019859559925698322,0.017648798094377388,0.024329891968576732,0.02354983581972773,-11.13197794710548,0.03756134957075119,0.03731667250394821,-0.6514064845889008
anchor_resnet50_unweighted_bce_seed123,resnet50,T1_2015,Cardiomegaly,1.1292026042938232,0.8934659314072049,0.016334394080254104,0.01775578527001068,0.017073704156912603,0.01605319591452719,8.70182991039031,0.05661952495574951,0.05620885267853737,-0.7253191854454806
anchor_resnet50_unweighted_bce_seed123,resnet50,T1_2015,Pneumonia,0.8774964213371277,0.8505030071077091,0.005233475157793785,0.004464197075148096,0.008321255557496793,0.005329928382687933,-14.699182846030448,0.02352326177060604,0.023445310071110725,-0.33138133756910215
anchor_resnet50_unweighted_bce_seed123,resnet50,T1_2015,Edema,0.9963512420654297,0.6165333333333334,0.0008361324435099959,0.0008611651137471199,0.0016875993923286187,0.0016918217167226047,2.9938642414160435,0.0021179611794650555,0.0021179772447794676,0.0007585273312787869
anchor_resnet50_unweighted_bce_seed123,resnet50,T2_2016,Pleural Effusion,1.0369319915771484,0.8869226092501148,0.010915039560834897,0.008952659793741906,0.00990198858698738,0.008010604298223443,-17.978677549959226,0.035741277039051056,0.035657063126564026,-0.2356208828101402
anchor_resnet50_unweighted_bce_seed123,resnet50,T2_2016,Cardiomegaly,1.1292026042938232,0.8798102935995693,0.03376410938920847,0.02468404493401874,0.03376410980453116,0.027818101165680238,-26.892652048129722,0.0725831538438797,0.07158391177654266,-1.3766859311271074
anchor_resnet50_unweighted_bce_seed123,resnet50,T2_2016,Pneumonia,0.8774964213371277,0.8843058056825985,0.01084066591764456,0.003187690084369852,0.010873754552357853,0.00465945396305621,-70.59507129371563,0.018546052277088165,0.018257198855280876,-1.5574927617568473
anchor_resnet50_unweighted_bce_seed123,resnet50,T2_2016,Edema,0.9963512420654297,0.9097402346018351,0.0018380749970674515,0.0018649812554940581,0.002478672758776256,0.0024902200143304067,1.463828106553548,0.0032243167515844107,0.0032247367780655622,0.013026836800236275
anchor_resnet50_unweighted_bce_seed123,resnet50,T3_2017,Pleural Effusion,1.0369319915771484,0.8717842219831361,0.004880948739251724,0.005111436030027656,0.007768382584410054,0.007997990272077465,4.7221821635288785,0.027150118723511696,0.027152514085173607,0.008822656306974652
anchor_resnet50_unweighted_bce_seed123,resnet50,T3_2017,Cardiomegaly,1.1292026042938232,0.8902315971554873,0.033511110228197326,0.025821944678810924,0.03499114596154365,0.02798536804392674,-22.94512326516861,0.07286208122968674,0.07174349576234818,-1.5352093276232253
anchor_resnet50_unweighted_bce_seed123,resnet50,T3_2017,Pneumonia,0.8774964213371277,0.8573302598491199,0.009746741099751054,0.0053599124723871065,0.012460051438427487,0.008192157259200717,-45.00815793163926,0.01946060173213482,0.01915254257619381,-1.5829888519444848
anchor_resnet50_unweighted_bce_seed123,resnet50,T3_2017,Edema,0.9963512420654297,,0.0013506235554814339,0.0013248460600152612,0.0013506234046464418,0.0013248461107811945,-1.9085625570171718,1.2584609066834673e-05,1.2206804058223497e-05,-3.0021195462228456
