auroc,auprc,prevalence,brier_score,log_loss,ece,ece_equal_width,ece_equal_mass,calibration_slope,calibration_intercept,intercept_in_the_large,sensitivity_th0.50,specificity_th0.50,ppv_th0.50,npv_th0.50,accuracy_th0.50,true_positives,false_positives,true_negatives,false_negatives,run_id,architecture,loss_type,seed,temporal_bin,target,sample_count
0.8661729656111679,0.29998522802052585,0.05268760025501251,0.14453205466270447,0.44291797280311584,0.2790402536215524,0.2790402536215524,0.27904023694002356,1.6147487163543701,-2.734347105026245,-2.547614729147189,0.8383838383838383,0.7522471910112359,0.15839694656488548,0.9881918819188192,0.756785524215008,83.0,441.0,1339.0,16.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T1_2015,Pleural Effusion,1879
0.8276421423072693,0.31974658210451584,0.07823310047388077,0.12821608781814575,0.40621471405029297,0.22610887784972797,0.22610887784972797,0.2261088847035484,1.312907338142395,-1.9104660749435425,-1.9186169483868947,0.673469387755102,0.8094688221709007,0.23076923076923078,0.9668965517241379,0.7988291644491751,99.0,330.0,1402.0,48.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T1_2015,Cardiomegaly,1879
0.8445489338436304,0.22629507785847267,0.02660989947617054,0.13944768905639648,0.44028130173683167,0.29429735188600925,0.29429735188600925,0.29429737297682257,1.2337493896484375,-3.424767017364502,-3.321527782497951,0.78,0.8605795516675779,0.1326530612244898,0.9930599369085173,0.8584353379457158,39.0,255.0,1574.0,11.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T1_2015,Pneumonia,1879
0.4613333333333334,0.003927731976141645,0.002128791995346546,0.07501883059740067,0.23321712017059326,0.16170433645809248,0.16170433645809248,0.1635948380512622,-0.05288899689912796,-6.314369201660156,-5.0722829153015185,0.25,0.8693333333333333,0.0040650406504065045,0.998162890385793,0.8680149015433741,1.0,245.0,1630.0,3.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T1_2015,Edema,1879
0.8281952044130076,0.18328327677590267,0.04439428076148033,0.16507488489151,0.49092912673950195,0.3087111986502687,0.3087111986502687,0.3087112020541395,1.2687451839447021,-2.947706460952759,-2.855167784372254,0.7966101694915254,0.7076115485564305,0.11235059760956176,0.986822840409956,0.7115625783797341,141.0,1114.0,2696.0,36.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T2_2016,Pleural Effusion,3987
0.7900789667847623,0.29230075419867024,0.10584399104118347,0.147262841463089,0.45127204060554504,0.2231978497313532,0.2231978497313532,0.2231978301583958,1.0855388641357422,-1.6814477443695068,-1.6838872237456577,0.6232227488151659,0.7744740532959327,0.246485473289597,0.9455479452054795,0.7584650112866818,263.0,804.0,2761.0,159.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T2_2016,Cardiomegaly,3987
0.8338235103584987,0.11539715625022573,0.019814396277070045,0.14279428124427795,0.4474746584892273,0.3057166414490941,0.3057166414490941,0.3057166419854163,1.1512852907180786,-3.6142072677612305,-3.5712398641183105,0.6455696202531646,0.8444216990788127,0.07738998482549317,0.9915865384615384,0.8404815650865313,51.0,608.0,3300.0,28.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T2_2016,Pneumonia,3987
0.8034435368355852,0.015407738799516272,0.003260596888139844,0.0880294069647789,0.26368090510368347,0.18409146754207067,0.18409146754207067,0.18409145953653905,0.596106231212616,-4.863195896148682,-4.810258217580091,0.5384615384615384,0.8412179164569703,0.0109717868338558,0.9982084204240071,0.8402307499372962,7.0,631.0,3343.0,6.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T2_2016,Edema,3987
0.8184302049190582,0.16914144200074224,0.03489326685667038,0.16452883183956146,0.48870086669921875,0.31496592921209454,0.31496592921209454,0.3149659116867141,1.270338535308838,-3.1753273010253906,-3.087413724189847,0.788235294117647,0.7022543598468737,0.08735332464146023,0.9892150988615938,0.7052545155993432,67.0,700.0,1651.0,18.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T3_2017,Pleural Effusion,2436
0.7861525757931678,0.274805387232364,0.10591132938861847,0.14646129310131073,0.4484615623950958,0.21983670726363438,0.21983670726363438,0.2198367297392467,1.069970965385437,-1.662061095237732,-1.6651021746603916,0.624031007751938,0.7750229568411386,0.24731182795698925,0.9456582633053221,0.7590311986863711,161.0,490.0,1688.0,97.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T3_2017,Cardiomegaly,2436
0.8105699916177703,0.13614446545658426,0.020525451749563217,0.14537551999092102,0.45335641503334045,0.30798020572913887,0.30798020572913887,0.3079801928863688,1.0972198247909546,-3.590684175491333,-3.561561280766946,0.66,0.8470243084660519,0.0829145728643216,0.9916584887144259,0.8431855500821018,33.0,365.0,2021.0,17.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T3_2017,Pneumonia,2436
,,0.0,0.08643980324268341,,0.1859402831281384,0.1859402831281384,0.1859402803569185,,,,,0.8378489326765188,0.0,1.0,0.8378489326765188,0.0,395.0,2041.0,0.0,anchor_resnet50_weighted_bce_seed2026,resnet50,weighted_bce,2026,T3_2017,Edema,2436
