auroc,auprc,prevalence,brier_score,log_loss,ece,ece_equal_width,ece_equal_mass,calibration_slope,calibration_intercept,intercept_in_the_large,sensitivity_th0.50,specificity_th0.50,ppv_th0.50,npv_th0.50,accuracy_th0.50,true_positives,false_positives,true_negatives,false_negatives,run_id,architecture,loss_type,seed,temporal_bin,target,sample_count
0.9392889569855862,0.4889864917353548,0.0526876002550125,0.0398082137107849,0.136947825551033,0.0223327141657606,0.0223327141657606,0.0318619585534069,1.7815659046173096,2.427639961242676,0.4612837857765083,0.0101010101010101,1.0,1.0,0.9478168264110756,0.9478445981905268,1.0,0.0,1780.0,98.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T1_2015,Pleural Effusion,1879
0.8942062968374416,0.4378756145999041,0.0782331004738807,0.0545411370694637,0.187120258808136,0.0149809796325446,0.0149809796325446,0.0146967262332488,1.208989500999451,0.1737635731697082,-0.129051730191546,0.1224489795918367,0.9930715935334872,0.6,0.9302325581395348,0.9249600851516764,18.0,12.0,1720.0,129.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T1_2015,Cardiomegaly,1879
0.8333132859486058,0.2249819480274473,0.0266098994761705,0.0243697948753833,0.101821057498455,0.0102423415591166,0.0102423415591166,0.0153902584816735,1.597350835800171,2.613157272338867,0.5100515201854071,0.0,1.0,,0.9733901011176156,0.9733901011176156,0.0,0.0,1829.0,50.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T1_2015,Pneumonia,1879
0.4867333333333333,0.0043399137116669,0.0021287919953465,0.002142323879525,0.0170475840568542,0.0039845616556704,0.0039845616556704,0.0043993635101123,1.1611543893814087,-0.2294507473707199,-1.0591885154153886,0.0,1.0,,0.9978712080894092,0.9978712080894092,0.0,0.0,1875.0,4.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T1_2015,Edema,1879
0.8775182763171553,0.2927446737422265,0.0443942807614803,0.0364715419709682,0.1369988769292831,0.0059482699074645,0.0059482699074645,0.0136816672706784,1.2575030326843262,0.8160498142242432,0.1666393639511343,0.0056497175141242,1.0,1.0,0.955845459106874,0.9558565337346376,1.0,0.0,3810.0,176.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T2_2016,Pleural Effusion,3987
0.880342721163497,0.4828020511823636,0.1058439910411834,0.0700280964374542,0.2340192198753357,0.0167178370774255,0.0167178370774255,0.0183693836597879,1.1481989622116089,0.3626061081886291,0.1393706702866967,0.1398104265402843,0.9910238429172512,0.6483516483516484,0.9068275154004108,0.9009280160521695,59.0,32.0,3533.0,363.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T2_2016,Cardiomegaly,3987
0.8657298239249576,0.1227671911771643,0.01981439627707,0.018529899418354,0.0809556394815445,0.0039204146973704,0.0039204146973704,0.0101252386676054,1.5914171934127808,2.336947441101074,0.2292560872386424,0.0,1.0,,0.980185603210434,0.980185603210434,0.0,0.0,3908.0,79.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T2_2016,Pneumonia,3987
0.7850063876737253,0.0096135525674749,0.0032605968881398,0.0032513870391994,0.0221151933073997,0.002937733894214,0.002937733894214,0.0031080781524206,3.9813170433044434,14.141403198242188,-0.6455025623664155,0.0,1.0,,0.9967394030599448,0.9967394030599448,0.0,0.0,3974.0,13.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T2_2016,Edema,3987
0.8643505892361198,0.2824046482374327,0.0348932668566703,0.0288795642554759,0.1144183054566383,0.0090859165883123,0.0090859165883123,0.011328300165069,1.2631484270095823,0.6594427824020386,-0.0155762452061702,0.0117647058823529,1.0,1.0,0.9655030800821356,0.9655172413793104,1.0,0.0,2351.0,84.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T3_2017,Pleural Effusion,2436
0.8824930061716532,0.469926661705519,0.1059113293886184,0.0708560571074485,0.234196737408638,0.016886816983232,0.016886816983232,0.0181425166100704,1.1462440490722656,0.3883951902389526,0.1642548862166606,0.1240310077519379,0.9908172635445364,0.6153846153846154,0.9052013422818792,0.8990147783251231,32.0,20.0,2158.0,226.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T3_2017,Cardiomegaly,2436
0.8469153394803017,0.125051157962895,0.0205254517495632,0.0193143039941787,0.0850541293621063,0.004671972902562,0.004671972902562,0.0113781731086744,1.5495315790176392,2.252795696258545,0.2682171837563797,0.0,1.0,,0.9794745484400657,0.9794745484400657,0.0,0.0,2386.0,50.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T3_2017,Pneumonia,2436
,,0.0,4.119005097891204e-05,,0.0062174275517463,0.0062174275517463,0.006217427351986,,,,,1.0,,1.0,1.0,0.0,0.0,2436.0,0.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,T3_2017,Edema,2436
0.9318777664283282,0.5488236932390225,0.0526876002550125,0.0340137034654617,0.1231372654438018,0.0150660160153771,0.0150660160153771,0.0168158366683644,1.0882364511489868,0.6577358841896057,0.4544952323253997,0.2424242424242424,0.994943820224719,0.7272727272727273,0.9593716143011918,0.9552953698775944,24.0,9.0,1771.0,75.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T1_2015,Pleural Effusion,1879
0.915352861698952,0.4917644295041819,0.0782331004738807,0.0520857870578765,0.1727484315633773,0.0101185496470248,0.0101185496470248,0.0129121696062736,0.9670840501785278,-0.1232061386108398,-0.0802682738354971,0.3129251700680272,0.9786374133949192,0.5542168674698795,0.9437639198218264,0.9265566790846196,46.0,37.0,1695.0,101.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T1_2015,Cardiomegaly,1879
0.8586604702022963,0.2584130296514968,0.0266098994761705,0.0230106506496667,0.0955223888158798,0.011135718588454,0.011135718588454,0.0136794783001514,1.0543370246887207,0.7783283591270447,0.6014814173270941,0.0,1.0,,0.9733901011176156,0.9733901011176156,0.0,0.0,1829.0,50.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T1_2015,Pneumonia,1879
0.5612666666666667,0.0057250699722133,0.0021287919953465,0.002124487189576,0.0154770892113447,0.0006138943135738,0.0006138943135738,0.0023509100007171,0.4168693125247955,-3.3562848567962646,0.3414840274947057,0.0,1.0,,0.9978712080894092,0.9978712080894092,0.0,0.0,1875.0,4.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T1_2015,Edema,1879
0.9005108471610541,0.3309386445250915,0.0443942807614803,0.0356026515364646,0.1286318004131317,0.0135783687091902,0.0135783687091902,0.0063990940596111,0.8757359385490417,-0.151254653930664,0.1223388350345717,0.1977401129943503,0.9916010498687664,0.5223880597014925,0.9637755102040816,0.9563581640331076,35.0,32.0,3778.0,142.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T2_2016,Pleural Effusion,3987
0.9050298119553586,0.549034945682111,0.1058439910411834,0.0658855736255645,0.2163879573345184,0.0179415833721685,0.0179415833721685,0.0190479576440427,0.9965866208076476,0.2857613563537597,0.2908184606494974,0.2559241706161137,0.9870967741935484,0.7012987012987013,0.918079833028959,0.909706546275395,108.0,46.0,3519.0,314.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T2_2016,Cardiomegaly,3987
0.8987876216265239,0.1529616074111572,0.01981439627707,0.0180282909423112,0.0745984762907028,0.0063514172624874,0.0063514172624874,0.0080209122209781,1.1105982065200806,0.6527489423751831,0.2969953448474138,0.0126582278481012,1.0,1.0,0.980431510286001,0.9804364183596688,1.0,0.0,3908.0,78.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T2_2016,Pneumonia,3987
0.8982230653091247,0.0254331713709324,0.0032605968881398,0.0032373371068388,0.0196844115853309,0.0016590056475251,0.0016590056475251,0.0028234470372367,1.816851258277893,5.457617282867432,0.7142425588109197,0.0,1.0,,0.9967394030599448,0.9967394030599448,0.0,0.0,3974.0,13.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T2_2016,Edema,3987
0.8681011834763681,0.3209704723246149,0.0348932668566703,0.0278017744421958,0.1106250435113906,0.0065863362172456,0.0065863362172456,0.0085036734662711,0.8565611839294434,-0.3694900572299957,-0.0454535325099942,0.2235294117647059,0.9931943853679286,0.5428571428571428,0.9725114535610162,0.9663382594417076,19.0,16.0,2335.0,66.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T3_2017,Pleural Effusion,2436
0.9080267082381248,0.5363308471538297,0.1059113293886184,0.0655700117349624,0.214230939745903,0.0158502434476696,0.0158502434476696,0.0155303883098665,0.9687879085540771,0.1904444545507431,0.2351785388655856,0.2790697674418604,0.9807162534435262,0.631578947368421,0.9198966408268734,0.9064039408866996,72.0,42.0,2136.0,186.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T3_2017,Cardiomegaly,2436
0.8813285834031852,0.2124463094850924,0.0205254517495632,0.0183135792613029,0.0774884894490242,0.0057872788596757,0.0057872788596757,0.0085558430304137,1.0859322547912598,0.6474291682243347,0.3660359948308013,0.0,1.0,,0.9794745484400657,0.9794745484400657,0.0,0.0,2386.0,50.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T3_2017,Pneumonia,2436
,,0.0,4.568458280118648e-06,,0.0015255825128406,0.0015255825128406,0.0015255824677989,,,,,1.0,,1.0,1.0,0.0,0.0,2436.0,0.0,anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,T3_2017,Edema,2436
0.9293468391782996,0.4899212934869247,0.0526876002550125,0.0369631387293338,0.1353750526905059,0.0259496698992652,0.0259496698992652,0.0210320319745693,0.8349888324737549,0.4351374804973602,0.8595673516402678,0.2121212121212121,0.9921348314606742,0.6,0.9577006507592192,0.951037786056413,21.0,14.0,1766.0,78.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,T1_2015,Pleural Effusion,1879
0.9128529009756328,0.4868484087001699,0.0782331004738807,0.0530679747462272,0.1796363145112991,0.024455211802865,0.024455211802865,0.014257125322616,0.7812500596046448,-0.0462032258510589,0.3051991354246785,0.2857142857142857,0.98094688221709,0.56,0.9417960088691796,0.9265566790846196,42.0,33.0,1699.0,105.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,T1_2015,Cardiomegaly,1879
0.8498633132859487,0.2661976273306336,0.0266098994761705,0.0230780467391014,0.1014172658324241,0.0131739244190158,0.0131739244190158,0.0133810391135492,0.8025082945823669,0.1582387089729309,0.8041324455107236,0.0,1.0,,0.9733901011176156,0.9733901011176156,0.0,0.0,1829.0,50.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,T1_2015,Pneumonia,1879
0.5726666666666667,0.009503084941693,0.0021287919953465,0.0021228226833045,0.0163144767284393,0.0012516635470092,0.0012516635470092,0.0020455201065052,0.3277251422405243,-3.678035020828247,0.8916140112589283,0.0,1.0,,0.9978712080894092,0.9978712080894092,0.0,0.0,1875.0,4.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,T1_2015,Edema,1879
