run_id,architecture,loss_type,seed,target,metric,point_tdi,point_slope,point_r2,point_p_val,bootstrap_tdi_mean,bootstrap_ci_lower,bootstrap_ci_upper,n_valid_bootstraps
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Cardiomegaly,auroc,0.0036630767304136613,-0.0036630767304136613,0.4757660744594303,0.5154338428785588,0.0038757840716177046,-0.010753681917813052,0.01881759669267343,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Cardiomegaly,auprc,-0.022283208824823902,0.022283208824823902,0.548920109441937,0.46880658783842155,-0.02123905354931394,-0.08285786211506924,0.040875398313578455,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Cardiomegaly,brier_score,0.006742110871718349,0.006742110871718349,0.7324570290203423,0.34608522124595675,0.0067358052478064916,-0.0003398492853385701,0.014188426764076499,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Cardiomegaly,ece_equal_mass,0.0013091048206922166,0.0013091048206922166,0.18078818093083796,0.7204131908177083,0.0016208890986946418,-0.005443289040655839,0.009034277500458333,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Cardiomegaly,sensitivity_th0.50,0.016927701313083382,-0.016927701313083382,0.3486666296971936,0.597876913151392,0.01761646237341413,-0.034916198428118765,0.06807568138826119,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Cardiomegaly,specificity_th0.50,-0.0010394200243035168,0.0010394200243035168,0.055598031979552334,0.8484629595125401,-0.0010441279113931328,-0.006316900306728639,0.004186236107959982,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Edema,auroc,-0.33695639864245797,0.33695639864245797,1.0,0.0,-0.3411128175817136,-0.7333425986274925,0.05597194009644646,1733
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Edema,auprc,-0.019708101398719043,0.019708101398719043,1.0,0.0,-0.024852833947364025,-0.08517054054168977,0.009189848961911417,1733
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Edema,brier_score,0.0011128499294893032,0.0011128499294893032,1.0,0.0,0.0008271228804924498,-0.0029971243479071995,0.004512038458163089,1733
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Edema,ece_equal_mass,0.00047253694968164145,0.00047253694968164145,1.0,0.0,0.00013966194030211006,-0.0033714223827836115,0.003699592671839244,1733
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Edema,sensitivity_th0.50,-0.0,0.0,,1.0,0.0,0.0,-0.0,1733
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Edema,specificity_th0.50,-0.0,0.0,,1.0,0.0,0.0,-0.0,1733
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pleural Effusion,auroc,0.031888291475980046,-0.031888291475980046,0.999910900903178,0.006009290834027473,0.031161123033210107,0.0001976766348203842,0.0652352197883159,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pleural Effusion,auprc,0.11392661045720374,-0.11392661045720374,0.7827456236179737,0.30868660361155303,0.108996388564125,0.01056458749039,0.20408490077839603,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pleural Effusion,brier_score,-0.003105964677072231,-0.003105964677072231,0.5676577261714973,0.4567952146747942,-0.0032082370769768867,-0.00972035993417219,0.0030120862300661213,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pleural Effusion,ece_equal_mass,-0.004156082397909745,-0.004156082397909745,0.5693467659566934,0.4557097020790712,-0.004085340330691754,-0.010582371000520735,0.0019078378916356502,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pleural Effusion,sensitivity_th0.50,0.009447415329768269,-0.009447415329768269,0.17739716258753713,0.7232283222894856,0.008708738879241607,-0.07165150870846407,0.08923679938482564,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pleural Effusion,specificity_th0.50,0.0008747174283952329,-0.0008747174283952329,0.27369502138314145,0.6495069989206997,0.0008458912841931288,-0.0021270495603598906,0.0037025682881515515,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pneumonia,auroc,-0.011334056600444453,0.011334056600444453,0.317337482424452,0.6190421515949653,-0.011274385607498398,-0.06682922358085094,0.03848429186573443,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pneumonia,auprc,0.022983360083202203,-0.022983360083202203,0.18897733116857718,0.7136980566048262,0.028156318530529217,-0.07131672308517865,0.12708272065348494,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pneumonia,brier_score,-0.0023485348750593316,-0.0023485348750593316,0.7046049110418001,0.3658044071019729,-0.0023894252849543133,-0.008330509969525224,0.003126837333388204,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pneumonia,ece_equal_mass,-0.0025618174408401344,-0.0025618174408401344,0.6724616792950557,0.3879049035447536,-0.0025952167301980782,-0.008434252261768303,0.002886324031991878,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pneumonia,sensitivity_th0.50,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,2000
anchor_densenet121_unweighted_bce_seed2026,densenet121,unweighted_bce,2026,Pneumonia,specificity_th0.50,-0.0,0.0,,,0.0,-0.0,0.0,2000
