auroc,auprc,prevalence,brier_score,log_loss,ece,ece_equal_width,ece_equal_mass,calibration_slope,calibration_intercept,intercept_in_the_large,sensitivity_th0.50,specificity_th0.50,ppv_th0.50,npv_th0.50,accuracy_th0.50,true_positives,false_positives,true_negatives,false_negatives,run_id,architecture,loss_type,seed,temporal_bin,target,sample_count
0.9413602315287709,0.5235683328695443,0.05268760025501251,0.10086130350828171,0.3430124521255493,0.19525761469730737,0.19525761469730737,0.19525762368241417,0.9660548567771912,-2.887888193130493,-2.926101438486698,0.8585858585858586,0.8707865168539326,0.2698412698412698,0.9910485933503836,0.8701436934539649,85.0,230.0,1550.0,14.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T1_2015,Pleural Effusion,1879
0.9033518719265997,0.45604694932661877,0.07823310047388077,0.11775795370340347,0.36393600702285767,0.18863025253332313,0.18863025253332313,0.1886302687469602,1.0406908988952637,-2.245826244354248,-2.2156457840718433,0.8435374149659864,0.8267898383371824,0.29245283018867924,0.9841924398625429,0.8281000532197977,124.0,300.0,1432.0,23.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T1_2015,Cardiomegaly,1879
0.8294641880809186,0.2508898729018384,0.02660989947617054,0.18945525586605072,0.5841261148452759,0.3115618325068064,0.3115618325068064,0.31156181716947495,0.7400733828544617,-3.8177731037139893,-4.26970856654043,0.76,0.7375615090213231,0.07335907335907337,0.991182953710507,0.738158594997339,38.0,480.0,1349.0,12.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T1_2015,Pneumonia,1879
0.5836666666666667,0.007171089306246157,0.002128791995346546,0.03829052299261093,0.13826535642147064,0.07140298018914991,0.07140298018914991,0.07204622510578255,0.1860433667898178,-5.453591346740723,-5.555199608272424,0.25,0.9525333333333333,0.011111111111111112,0.9983230855226384,0.951037786056413,1.0,89.0,1786.0,3.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T1_2015,Edema,1879
0.8950405563711317,0.32798292235544196,0.04439428076148033,0.12504859268665314,0.4142594635486603,0.22134589563175971,0.22134589563175971,0.2213458940620362,0.7541989088058472,-2.99931263923645,-3.316927984811767,0.8022598870056498,0.8322834645669291,0.18181818181818182,0.9890829694323144,0.8309505894156007,142.0,639.0,3171.0,35.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T2_2016,Pleural Effusion,3987
0.886713572582307,0.5232167454830796,0.10584399104118347,0.12402278184890747,0.3819328844547272,0.18095194166682704,0.18095194166682704,0.1809519450675443,0.9842577576637268,-1.8901320695877075,-1.8983846832350668,0.7843601895734598,0.8171107994389902,0.3367243133265514,0.9697070572569907,0.8136443441183847,331.0,652.0,2913.0,91.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T2_2016,Cardiomegaly,3987
0.8650172317738363,0.13019990774958154,0.019814396277070045,0.18969719111919403,0.5816666483879089,0.3143361428416639,0.3143361428416639,0.3143361339288111,0.7769532203674316,-4.15162992477417,-4.542889720082956,0.8227848101265823,0.7331115660184238,0.058664259927797835,0.9951372004168114,0.7348883872585904,65.0,1043.0,2865.0,14.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T2_2016,Pneumonia,3987
0.8780535016065968,0.10228325743271047,0.003260596888139844,0.0362795814871788,0.12663568556308746,0.07360706368383231,0.07360706368383231,0.07360706763044897,0.5325882434844971,-4.398118019104004,-4.73000724400395,0.38461538461538464,0.9539506794162054,0.026595744680851064,0.9978941826796526,0.9520943064961124,5.0,183.0,3791.0,8.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T2_2016,Edema,3987
0.8760602497060075,0.30820744264734146,0.03489326685667038,0.118302121758461,0.39127376675605774,0.21808777873408916,0.21808777873408916,0.2180877880411978,0.7711853384971619,-3.168710231781006,-3.445145464650872,0.788235294117647,0.8383666524883029,0.14988814317673377,0.9909502262443439,0.8366174055829229,67.0,380.0,1971.0,18.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T3_2017,Pleural Effusion,2436
0.8933832689118103,0.5258607903678363,0.10591132938861847,0.12611542642116547,0.3855286240577698,0.1839436430037511,0.1839436430037511,0.18394363310328746,1.0040918588638306,-1.9498037099838257,-1.9457566210828574,0.7868217054263565,0.8149678604224059,0.334983498349835,0.9699453551912568,0.8119868637110016,203.0,403.0,1775.0,55.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T3_2017,Cardiomegaly,2436
0.8676026823134955,0.15895393032257776,0.020525451749563217,0.184382826089859,0.5691819787025452,0.3078877231341669,0.3078877231341669,0.3078877169043223,0.7708755731582642,-4.097954750061035,-4.505419075777292,0.9,0.7363788767812238,0.06676557863501484,0.9971623155505108,0.7397372742200329,45.0,629.0,1757.0,5.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T3_2017,Pneumonia,2436
,,0.0,0.03617418557405472,,0.07808845099948701,0.07808845099948701,0.07808845006565548,,,,,0.9507389162561576,0.0,1.0,0.9507389162561576,0.0,120.0,2316.0,0.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,T3_2017,Edema,2436
