file,size_bytes,last_modified,sha256
manuscript/references.bib,6746,2026-09-22T09:24:18.512927,9ea921e60206d6ad89d93c4dbf79451f42731a564984c52f5143fbd80dc82cf7
reports/manuscript_figures/fig2_drift_trajectories.png,574480,2026-09-22T09:23:39.733046,c7c87cee45e493d1444a5392b87e61feb3f06b8b44a1a3e9b828f4ebe131aa0b
reports/manuscript_figures/fig3_recalibration_comparison.png,201085,2026-09-22T09:23:40.377162,7be1586f129b8a839687d085dd0fd41f366824a649a4f1c3f3cabb7e0705fe6b
reports/manuscript_figures/fig4_selective_risk_coverage.png,433146,2026-09-22T09:23:40.973653,8c226197b40c70efe811b01ea4ff2284871efc33fc1a330d9c43a48e3d75cdb5
reports/manuscript_figures/fig5_reliability_diagrams.png,323394,2026-09-22T09:23:43.667446,c0563cba66fbfdd398aa89d8b8b109be96f7c2667a9968605fc1eaf766545e3f
reports/manuscript_tables/table1_cohort_demographics.csv,1052,2026-09-22T09:23:38.215760,d57021a9e915af3b0232b1d787a12ea95bd37c1dc60a86ff3a6a6d49e334f212
reports/manuscript_tables/table1_cohort_demographics.md,1969,2026-09-22T09:23:38.265775,895e95d69ef1cae0adf66894b4b145467ff30bde2d41a2f519eb9854c9347bc5
reports/manuscript_tables/table1_cohort_demographics.tex,1314,2026-09-22T09:23:38.259850,71b767b750ff03f58f0126302b1e5813145ad6338b1a480f6a9536ffa092c137
reports/manuscript_tables/table2_factorial_matrix.csv,3908,2026-09-22T09:23:38.288291,c9bdde338c37837a44a225a1b8b43ca44ffd468b586ffc531b15ca5cd8280704
reports/manuscript_tables/table2_factorial_matrix.md,5624,2026-09-22T09:23:38.296833,14796417ed916b00dad489b3124e9d46be8a8aed5eccbcb4a42b36599bd0c99a
reports/manuscript_tables/table2_factorial_matrix.tex,4582,2026-09-22T09:23:38.294317,33ba9dbc213290d5beccc6a4ec49dcaf7fa964831dbfcfad458c22080855cb7d
reports/manuscript_tables/table3_calibrator_comparison.csv,2207,2026-09-22T09:23:38.315825,42f6ba2d1215d59f637492d4bf58da04f290a0e4462c0f9bb883dfe6e960add8
reports/manuscript_tables/table3_calibrator_comparison.md,4173,2026-09-22T09:23:38.321228,4f864dffacc10451a947231939a95c80d05cda27a083c682854aedc4038b2ec7
reports/manuscript_tables/table3_calibrator_comparison.tex,2651,2026-09-22T09:23:38.319546,d7d2bf492e8f57794f015250487b95e5f3b666d5891c838117c75482a5008eb9
reports/manuscript_tables/table4_selective_prediction_workload.csv,1866,2026-09-22T09:23:38.345452,4e52b4fcf07b6dbbed062ae49bb2d091c3f1ffca38d8d27d21097d2face31f0f
reports/manuscript_tables/table4_selective_prediction_workload.md,6373,2026-09-22T09:23:38.352315,9702d6d6efc9dc19dcbf6aadbb679a9452aea4d9b7e3ae4250625a15fe00cc0f
reports/manuscript_tables/table4_selective_prediction_workload.tex,2353,2026-09-22T09:23:38.350291,ed768f2d759d2b8d92ba726284de1f800218a13a9f3395ae9d5cce0672fc0f0c
reports/stage2/predictions/preds_anchor_densenet121_unweighted_bce_seed123.csv,13949450,2026-09-22T09:14:29.409641,3d03c5bc284b66afd39dc9ae4c79244550ef9000d049b7a023cd88cd30a2670f
reports/stage2/predictions/preds_anchor_densenet121_unweighted_bce_seed2026.csv,14013005,2026-09-22T09:14:29.701671,3f6aa201c4f3f77c271afecc038d12ab6ca629867e3ba3709606eb7cf6973879
reports/stage2/predictions/preds_anchor_densenet121_unweighted_bce_seed42.csv,13873474,2026-09-22T09:14:29.981854,58e93119aa2956950176281fd04307431f2c6794f5eacddbf3f957dca07f02d6
reports/stage2/predictions/preds_anchor_densenet121_weighted_bce_seed123.csv,13850414,2026-09-22T09:14:30.282777,a37499c4184738cf4c90f79faf0f80f36aabee95ac20211bf7fa94614d7523c6
reports/stage2/predictions/preds_anchor_densenet121_weighted_bce_seed2026.csv,13939730,2026-09-22T09:14:30.580516,ac99087ffe0975389d1b5dab751f6fbcaa114fe8686e12e24e64172ac38d7a72
reports/stage2/predictions/preds_anchor_densenet121_weighted_bce_seed42.csv,13768349,2026-09-22T09:14:30.909097,c3d5425e23c45db7f052e26af373dc18eff224fbc697839c0168d669ae570330
reports/stage2/predictions/preds_anchor_resnet50_unweighted_bce_seed123.csv,13753679,2026-09-22T09:14:31.193197,335ccf4d7841aaebc6522795868e81ad5d80d90603c80ffc83d34b83346dc842
reports/stage2/predictions/preds_anchor_resnet50_unweighted_bce_seed2026.csv,13820048,2026-09-22T09:14:31.533741,ff37b5f696c2a60006e7127be207278e8b6c796557cbab56376ddd938383bcb1
reports/stage2/predictions/preds_anchor_resnet50_unweighted_bce_seed42.csv,13689638,2026-09-22T09:14:31.868844,b8a9777f083f95da7d12dc3c0b12f5eb78150c0bf6e1db44f13fa3a4d0f1f736
reports/stage2/predictions/preds_anchor_resnet50_weighted_bce_seed123.csv,13644987,2026-09-22T09:14:32.168854,61c1a51f6e10566732aaf3820be323ad552bd72c38e600bdf7729cc2e8ba3dfb
reports/stage2/predictions/preds_anchor_resnet50_weighted_bce_seed2026.csv,13746586,2026-09-22T09:14:32.509349,aa1f7b42653089d20ace95abf4f9d0dbd67ca0fdf8b2316af83c936d1cbef10e
reports/stage2/predictions/preds_anchor_resnet50_weighted_bce_seed42.csv,13673507,2026-09-22T09:14:32.788756,fb22992290914a75e6f463dc00c69a8a3935c0bfb40d141df6af38feeef66d23
reports/stage2/predictions/preds_ensemble_3seeds.csv,36436202,2026-09-22T09:14:33.680497,e3d4b40348f9c11446243934397a682c5472a3ace7197ecd239edde3ed7aba57
reports/stage3/stage3_calibrator_improvements_ci.csv,127820,2026-09-22T09:18:16.787535,601b92655a2ee6ce55cc82eca6239f37f6b2c854fbc00c38c14b8cf3f8d2ac79
reports/stage3/stage3_deferral_results.csv,1839108,2026-09-22T09:18:17.122751,15f6e347571f91b85c64f7a75bb0ed4237a203fb94a81cb8c791cf4c59277bdc
reports/stage3/stage3_paired_contrasts.csv,41261,2026-09-22T09:18:17.204124,02cf6c1c69616fa1386519f9c95dbde0f870e916afee29a696b06ff89e4cd400
reports/stage3/stage3_recalibration_full.csv,233745,2026-09-22T09:18:16.782034,eba29287e439f781fa22f3b0b8a6b376747599c6cdbf59b633fba897cdab5a47
