prevalence,brier_null,auroc_raw_mean,auroc_raw_ci_lower,auroc_raw_ci_upper,auprc_raw_mean,auprc_raw_ci_lower,auprc_raw_ci_upper,brier_raw_mean,brier_raw_ci_lower,brier_raw_ci_upper,bss_raw_mean,bss_raw_ci_lower,bss_raw_ci_upper,intercept_raw_mean,intercept_raw_ci_lower,intercept_raw_ci_upper,slope_raw_mean,slope_raw_ci_lower,slope_raw_ci_upper,architecture,loss_type,target,stratum,n_images,n_patients,seeds_used,auroc_corr_mean,brier_corr_mean,brier_corr_ci_lower,brier_corr_ci_upper,bss_corr_mean,bss_corr_ci_lower,bss_corr_ci_upper,intercept_corr_mean,intercept_corr_ci_lower,intercept_corr_ci_upper,slope_corr_mean,slope_corr_ci_lower,slope_corr_ci_upper,delta_brier_mean,delta_brier_ci_lower,delta_brier_ci_upper
0.3217749044960329,0.21823581533260178,0.6874177296907483,0.6559605182200549,0.7172950574002989,0.5465794949958415,0.49060656686970855,0.5990659364466402,0.24871721787161083,0.21776138408682671,0.28017850394614724,-0.13967186134207146,-0.2838337443335863,0.0021739385217408947,0.6524695580016401,0.3852759695777443,0.9134357173476472,0.4733592142946297,0.3904896320998039,0.5613522230505205,densenet121,unweighted_bce,Pleural Effusion,all_frontal,3403,289,42-123-2026,,,,,,,,,,,,,,,,
0.26329709080223335,0.19397173277731383,0.5224073651034633,0.4912026592055204,0.5561325163288674,0.28572573397512574,0.2515620934591211,0.3179721678129061,0.23771722892118352,0.21153129578885066,0.2618435939485488,-0.2255251088265063,-0.3499059383521316,-0.09052640176028026,-0.9128966337460237,-1.112227269473285,-0.732277495446176,0.04337405321667185,-0.011731808357746041,0.10100086701858353,densenet121,unweighted_bce,Cardiomegaly,all_frontal,3403,289,42-123-2026,,,,,,,,,,,,,,,,
0.1004995592124596,0.09039939781056093,0.6074546947550299,0.5627193594241684,0.6487397153125789,0.14971127370954576,0.11147118722524815,0.19683322086902555,0.09851926477445706,0.0833914398286348,0.11528840583994031,-0.08982213555130031,-0.27532271931209384,0.07752217549736186,-0.4899006293317395,-1.3171009405890606,0.31866136612562357,0.3168167672808634,0.17905554277335098,0.458320648755069,densenet121,unweighted_bce,Pneumonia,all_frontal,3403,289,42-123-2026,,,,,,,,,,,,,,,,
0.21334116955627389,0.16782671492863507,0.5615532587787937,0.5264844732884473,0.5937831057709009,0.2533810198504266,0.21173762779457053,0.2966646974735159,0.21288176720189383,0.1823753714540129,0.24668195326978684,-0.2684617421750614,-0.46986106100380604,-0.08668856166054582,0.39577954599250154,-0.5865916888851327,1.2802106578999497,0.2618792393073909,0.11573601376748015,0.3991275855090342,densenet121,unweighted_bce,Edema,all_frontal,3403,289,42-123-2026,,,,,,,,,,,,,,,,
0.358004158004158,0.2298371808558919,0.6585657775253603,0.6250953577309586,0.6913294943624342,0.5196488232390555,0.46195796308106013,0.5769462483928051,0.2985736721686493,0.26192056234840827,0.33428183498425484,-0.2990660216801704,-0.4544288863073457,-0.13959178133425118,0.7004275849850918,0.3659445415076173,1.0425984763690905,0.3964771148198816,0.3100526989167433,0.4837342516378399,densenet121,unweighted_bce,Pleural Effusion,ap_view,2405,269,42-123-2026,,,,,,,,,,,,,,,,
0.30103950103950106,0.2104147198533893,0.5392995497734371,0.5061746042235632,0.5754274312501039,0.3158384339771817,0.27917228868230815,0.35423210840717956,0.266287863733536,0.2360676680792911,0.29777507587742386,-0.2655381900994258,-0.4151817709564457,-0.12191612945984022,-0.6149876175160103,-0.8533868029126404,-0.3677694057324679,0.07205510996233673,0.007265456350620655,0.14006317761672318,densenet121,unweighted_bce,Cardiomegaly,ap_view,2405,269,42-123-2026,,,,,,,,,,,,,,,,
0.08856548856548857,0.0807216428006449,0.5787047526974388,0.5278700612032406,0.6277403728818739,0.11826670906194141,0.08764743689873507,0.152880179110776,0.08735831369525654,0.07339870350681221,0.10300188612302145,-0.08221674713684873,-0.27601325430654594,0.09071841255656635,-1.0258262874104231,-1.9403360653478519,-0.12597969455384106,0.22797558259816258,0.08263775121341405,0.38352477708014715,densenet121,unweighted_bce,Pneumonia,ap_view,2405,269,42-123-2026,,,,,,,,,,,,,,,,
0.2648648648648649,0.19471146822498175,0.5975885357478783,0.5624869815916442,0.6341455217950707,0.34554408307103496,0.28936849120161867,0.4054224718883109,0.26278840410502424,0.22166725971738702,0.30404302922767706,-0.3496298215027692,-0.5615055034989868,-0.13843967044231248,1.909142209214568,0.8883827755215885,3.039603793554463,0.4413234642770551,0.2866925595357129,0.6154152766052888,densenet121,unweighted_bce,Edema,ap_view,2405,269,42-123-2026,,,,,,,,,,,,,,,,
0.23446893787575152,0.17949325504716848,0.8766596620115873,0.8428367594030268,0.909902941268488,0.7205354208082381,0.6445145500343662,0.7882138728716565,0.12932793746571433,0.09958899790205408,0.16035307171762855,0.27948302329394686,0.10663455473304627,0.44516579257597505,1.289803771049829,0.8849796653408014,1.7602571758715304,1.2040586725843516,1.0212705176241008,1.4250584328759697,densenet121,unweighted_bce,Pleural Effusion,pa_view,998,203,42-123-2026,,,,,,,,,,,,,,,,
0.17234468937875752,0.14264199742169711,0.7085515602925793,0.6479162932846553,0.7650092280535999,0.33081572838388684,0.26301296361611937,0.40219409460978295,0.1667075160912774,0.14014454998004056,0.19253927115439667,-0.1687127150809211,-0.3498077328879984,0.017508500208906024,-1.0978494717156722,-1.3429958493570353,-0.8760944797385969,0.564082973062661,0.3885932777096506,0.7490061164345228,densenet121,unweighted_bce,Cardiomegaly,pa_view,998,203,42-123-2026,,,,,,,,,,,,,,,,
