auroc,auprc,prevalence,brier_score,log_loss,ece,ece_equal_width,ece_equal_mass,calibration_slope,calibration_intercept,intercept_in_the_large,sensitivity_th0.50,specificity_th0.50,ppv_th0.50,npv_th0.50,accuracy_th0.50,true_positives,false_positives,true_negatives,false_negatives,run_id,architecture,loss_type,seed,target,stratum,eval_mode,sample_count
0.6679514573094972,0.5328224032975852,0.3217748999595642,0.24405768513679504,0.9947587847709656,0.21692047808718898,0.21692047808718898,0.2167609837864064,0.27893099188804626,0.15877223014831543,2.15850791902132,0.1141552511415525,0.9822357019064125,0.7530120481927711,0.7003398208217485,0.7029091977666765,125.0,41.0,2267.0,970.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pleural Effusion,all_frontal,raw,3403
0.6377284516738579,0.5005286007694829,0.3580041527748108,0.2949847877025604,1.2385472059249878,0.2768953271814295,0.2768953271814295,0.27374153817517843,0.21192629635334015,0.1867525428533554,2.6896415728214595,0.05110336817653891,0.9825129533678757,0.6197183098591549,0.6499571550985432,0.649064449064449,44.0,27.0,1517.0,817.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pleural Effusion,ap_view,raw,2405
0.8608566026759743,0.7154649308697666,0.23446893692016602,0.12133248895406723,0.40727245807647705,0.07944811750315353,0.07944811750315353,0.07982805836012584,0.9014556407928467,0.6554874181747437,0.81282517519075,0.34615384615384615,0.981675392670157,0.8526315789473684,0.8305647840531561,0.8326653306613226,81.0,14.0,750.0,153.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pleural Effusion,pa_view,raw,998
0.5415604165479515,0.2884289193805796,0.26329708099365234,0.2495926022529602,0.9275200963020325,0.21168333373891585,0.21168333373891585,0.2111287274642303,0.05914658308029175,-0.8801504373550415,0.549503168641305,0.17633928571428573,0.8476266453928999,0.29259259259259257,0.7422284317149843,0.6708786364972084,158.0,382.0,2125.0,738.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Cardiomegaly,all_frontal,raw,3403
0.5364132274593194,0.3133112726812895,0.3010394871234894,0.26825037598609924,1.0687516927719116,0.22655740071730904,0.22655740071730904,0.2215361858541901,0.05512363091111183,-0.671856701374054,1.4978943059152754,0.062154696132596686,0.9286139202855443,0.2727272727272727,0.696875,0.6677754677754678,45.0,120.0,1561.0,679.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Cardiomegaly,ap_view,raw,2405
0.7271665071231488,0.31839992263549044,0.17234468460083008,0.2046307772397995,0.5871772170066833,0.20002892010944165,0.20002892010944165,0.19648833918984315,0.4490942656993866,-1.322642207145691,-1.5209747528675994,0.6569767441860465,0.6828087167070218,0.30133333333333334,0.9052969502407705,0.6783567134268537,113.0,262.0,564.0,59.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Cardiomegaly,pa_view,raw,998
0.5872421579921709,0.12816017373199187,0.10049956291913986,0.09910855442285538,0.6093084216117859,0.09479696995680241,0.09479696995680241,0.09466628516172264,0.14879117906093597,-1.25583815574646,3.2133050066352213,0.0,1.0,,0.8995004407875404,0.8995004407875404,0.0,0.0,3061.0,342.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pneumonia,all_frontal,raw,3403
0.5728288526781125,0.10881074057876926,0.08856549113988876,0.08770865201950073,0.5838567614555359,0.08426168778458157,0.08426168778458157,0.08407677398711877,0.11209432035684586,-1.5704337358474731,3.368439730038902,0.0,1.0,,0.9114345114345115,0.9114345114345115,0.0,0.0,2192.0,213.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pneumonia,ap_view,raw,2405
0.5705613687656668,0.16157760999226045,0.12925851345062256,0.12658026814460754,0.6706423759460449,0.12018509396540379,0.12018509396540379,0.12018509960186508,0.2100825309753418,-0.7967579960823059,2.9886671365817703,0.0,1.0,,0.8707414829659319,0.8707414829659319,0.0,0.0,869.0,129.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pneumonia,pa_view,raw,998
0.5527040877755722,0.2535967311223949,0.21334117650985718,0.21236532926559448,1.4522879123687744,0.21139657497406006,0.21139657497406006,0.2113965632650665,0.11511775106191635,-0.5095594525337219,5.211251729458187,0.0,1.0,,0.7866588304437261,0.7866588304437261,0.0,0.0,2677.0,726.0,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Edema,all_frontal,raw,3403
