raw_auroc_mean,raw_auroc_ci_lower,raw_auroc_ci_upper,raw_auprc_mean,raw_auprc_ci_lower,raw_auprc_ci_upper,raw_prevalence_mean,raw_prevalence_ci_lower,raw_prevalence_ci_upper,raw_brier_score_mean,raw_brier_score_ci_lower,raw_brier_score_ci_upper,raw_log_loss_mean,raw_log_loss_ci_lower,raw_log_loss_ci_upper,raw_ece_mean,raw_ece_ci_lower,raw_ece_ci_upper,raw_ece_equal_width_mean,raw_ece_equal_width_ci_lower,raw_ece_equal_width_ci_upper,raw_ece_equal_mass_mean,raw_ece_equal_mass_ci_lower,raw_ece_equal_mass_ci_upper,raw_calibration_slope_mean,raw_calibration_slope_ci_lower,raw_calibration_slope_ci_upper,raw_calibration_intercept_mean,raw_calibration_intercept_ci_lower,raw_calibration_intercept_ci_upper,raw_intercept_in_the_large_mean,raw_intercept_in_the_large_ci_lower,raw_intercept_in_the_large_ci_upper,raw_sensitivity_th0.50_mean,raw_sensitivity_th0.50_ci_lower,raw_sensitivity_th0.50_ci_upper,raw_specificity_th0.50_mean,raw_specificity_th0.50_ci_lower,raw_specificity_th0.50_ci_upper,raw_ppv_th0.50_mean,raw_ppv_th0.50_ci_lower,raw_ppv_th0.50_ci_upper,raw_npv_th0.50_mean,raw_npv_th0.50_ci_lower,raw_npv_th0.50_ci_upper,raw_accuracy_th0.50_mean,raw_accuracy_th0.50_ci_lower,raw_accuracy_th0.50_ci_upper,raw_true_positives_mean,raw_true_positives_ci_lower,raw_true_positives_ci_upper,raw_false_positives_mean,raw_false_positives_ci_lower,raw_false_positives_ci_upper,raw_true_negatives_mean,raw_true_negatives_ci_lower,raw_true_negatives_ci_upper,raw_false_negatives_mean,raw_false_negatives_ci_lower,raw_false_negatives_ci_upper,corr_auroc_mean,corr_auroc_ci_lower,corr_auroc_ci_upper,corr_auprc_mean,corr_auprc_ci_lower,corr_auprc_ci_upper,corr_prevalence_mean,corr_prevalence_ci_lower,corr_prevalence_ci_upper,corr_brier_score_mean,corr_brier_score_ci_lower,corr_brier_score_ci_upper,corr_log_loss_mean,corr_log_loss_ci_lower,corr_log_loss_ci_upper,corr_ece_mean,corr_ece_ci_lower,corr_ece_ci_upper,corr_ece_equal_width_mean,corr_ece_equal_width_ci_lower,corr_ece_equal_width_ci_upper,corr_ece_equal_mass_mean,corr_ece_equal_mass_ci_lower,corr_ece_equal_mass_ci_upper,corr_calibration_slope_mean,corr_calibration_slope_ci_lower,corr_calibration_slope_ci_upper,corr_calibration_intercept_mean,corr_calibration_intercept_ci_lower,corr_calibration_intercept_ci_upper,corr_intercept_in_the_large_mean,corr_intercept_in_the_large_ci_lower,corr_intercept_in_the_large_ci_upper,corr_sensitivity_th0.50_mean,corr_sensitivity_th0.50_ci_lower,corr_sensitivity_th0.50_ci_upper,corr_specificity_th0.50_mean,corr_specificity_th0.50_ci_lower,corr_specificity_th0.50_ci_upper,corr_ppv_th0.50_mean,corr_ppv_th0.50_ci_lower,corr_ppv_th0.50_ci_upper,corr_npv_th0.50_mean,corr_npv_th0.50_ci_lower,corr_npv_th0.50_ci_upper,corr_accuracy_th0.50_mean,corr_accuracy_th0.50_ci_lower,corr_accuracy_th0.50_ci_upper,corr_true_positives_mean,corr_true_positives_ci_lower,corr_true_positives_ci_upper,corr_false_positives_mean,corr_false_positives_ci_lower,corr_false_positives_ci_upper,corr_true_negatives_mean,corr_true_negatives_ci_lower,corr_true_negatives_ci_upper,corr_false_negatives_mean,corr_false_negatives_ci_lower,corr_false_negatives_ci_upper,delta_brier_mean,delta_brier_ci_lower,delta_brier_ci_upper,delta_intercept_mean,delta_intercept_ci_lower,delta_intercept_ci_upper,n_valid_bootstraps,run_id,architecture,loss_type,seed,target,stratum,sample_count,unique_patients
0.668399768077607,0.6300091404044942,0.7045645616559826,0.5320682530879353,0.4729675582077007,0.5853182310316247,0.3211506988389688,0.2860391700854267,0.36554215555861813,0.24360260770918643,0.2185504117252619,0.2752552605381369,0.9912101495885848,0.8752508091944263,1.1234107951091885,0.21770159076336248,0.18775380241682177,0.25431619231837993,0.21770159076336248,0.18775380241682177,0.25431619231837993,0.21609668498684256,0.1870660417452987,0.25313688829276,0.28155636582381766,0.2116677880793539,0.3546997514022295,0.1603790659546904,-0.09527118332234949,0.4220550892554598,2.1529798231854027,1.9098150712028596,2.399195351386474,0.11460775425457062,0.08733610146949103,0.14575182451712027,0.9819361743276298,0.9735165163056834,0.9867943136940485,0.7500116371441741,0.6692257217847769,0.8198614911080712,0.7009539972223439,0.6561070141317675,0.7344209306309712,0.7034428493981781,0.6615160130523343,0.7348416883119947,124.725,84.95,159.10000000000002,41.405,29.975000000000005,58.10000000000002,2258.79,1942.975,2558.025,963.925,808.8000000000001,1148.8250000000003,0.668399768077607,0.6300091404044942,0.7045645616559826,0.5320682530879353,0.4729675582077007,0.5853182310316247,0.3211506988389688,0.2860391700854267,0.36554215555861813,0.24360260770918643,0.2185504117252619,0.2752552605381369,0.9912101495885848,0.8752508091944263,1.1234107951091885,0.21770159076336248,0.18775380241682177,0.25431619231837993,0.21770159076336248,0.18775380241682177,0.25431619231837993,0.21609668498684256,0.1870660417452987,0.25313688829276,0.28155636582381766,0.2116677880793539,0.3546997514022295,0.1603790659546904,-0.09527118332234949,0.4220550892554598,2.1529798231854027,1.9098150712028596,2.399195351386474,0.11460775425457062,0.08733610146949103,0.14575182451712027,0.9819361743276298,0.9735165163056834,0.9867943136940485,0.7500116371441741,0.6692257217847769,0.8198614911080712,0.7009539972223439,0.6561070141317675,0.7344209306309712,0.7034428493981781,0.6615160130523343,0.7348416883119947,124.725,84.95,159.10000000000002,41.405,29.975000000000005,58.10000000000002,2258.79,1942.975,2558.025,963.925,808.8000000000001,1148.8250000000003,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pleural Effusion,all_frontal,3403,289
0.5420975449595338,0.5047448102683051,0.5766522057581825,0.28951990048824183,0.25482288229746836,0.319261113611093,0.2619556100308886,0.23220453561962462,0.2924046809625072,0.2484529748952295,0.22467628084136865,0.27072633046662153,0.9237170953562002,0.8270816444074629,1.0268951806297526,0.21065366122120588,0.18559243857977628,0.2368529396414203,0.21065366122120588,0.18559243857977628,0.2368529396414203,0.20913819824349558,0.18463131312115533,0.23450131068965893,0.0600095403712583,0.007995632635750597,0.10778697511329989,-0.886432468147309,-1.0827835573128597,-0.7375208861111019,0.5426476705937887,0.1857622639650795,0.8515466941182265,0.1769149537736117,0.14081531596780492,0.2169861980456613,0.8483157596785574,0.8131674175139455,0.8782931512638136,0.2928680286959154,0.24564582245929398,0.3319862743161845,0.7437815935697675,0.7114925118763267,0.7757396848309877,0.672444275954673,0.6396324631801746,0.7034841891266639,157.095,116.95,206.05,379.11,298.85,481.05,2121.175,1824.4250000000002,2394.375,731.465,602.825,891.075,0.5420975449595338,0.5047448102683051,0.5766522057581825,0.28951990048824183,0.25482288229746836,0.319261113611093,0.2619556100308886,0.23220453561962462,0.2924046809625072,0.2484529748952295,0.22467628084136865,0.27072633046662153,0.9237170953562002,0.8270816444074629,1.0268951806297526,0.21065366122120588,0.18559243857977628,0.2368529396414203,0.21065366122120588,0.18559243857977628,0.2368529396414203,0.20913819824349558,0.18463131312115533,0.23450131068965893,0.0600095403712583,0.007995632635750597,0.10778697511329989,-0.886432468147309,-1.0827835573128597,-0.7375208861111019,0.5426476705937887,0.1857622639650795,0.8515466941182265,0.1769149537736117,0.14081531596780492,0.2169861980456613,0.8483157596785574,0.8131674175139455,0.8782931512638136,0.2928680286959154,0.24564582245929398,0.3319862743161845,0.7437815935697675,0.7114925118763267,0.7757396848309877,0.672444275954673,0.6396324631801746,0.7034841891266639,157.095,116.95,206.05,379.11,298.85,481.05,2121.175,1824.4250000000002,2394.375,731.465,602.825,891.075,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Cardiomegaly,all_frontal,3403,289
0.5892673071803989,0.5474363541248118,0.6288753486933351,0.1323497050747124,0.1036915709287034,0.17224354432732736,0.10118205202269392,0.08510549571451387,0.11910768285072648,0.09978158002449046,0.08392610333096742,0.11719452836388523,0.6128282257812231,0.5151260631779292,0.7093972355885908,0.09560549708092507,0.07969546717178848,0.11318073208568805,0.09560549708092507,0.07969546717178848,0.11318073208568805,0.09539782455422519,0.07945583945218775,0.11317431840714207,0.15382181881971452,0.07048580444629499,0.23075426282088002,-1.2229464878946124,-1.7651931814627513,-0.6541816509703702,3.231234988935022,2.9752859570529373,3.4953993984107803,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.8988179479773061,0.8808923171492735,0.9148945042854861,0.8988179479773061,0.8808923171492735,0.9148945042854861,0.0,0.0,0.0,0.0,0.0,0.0,3045.96,2654.9,3453.5750000000003,342.885,276.925,415.15000000000003,0.5892673071803989,0.5474363541248118,0.6288753486933351,0.1323497050747124,0.1036915709287034,0.17224354432732736,0.10118205202269392,0.08510549571451387,0.11910768285072648,0.09978158002449046,0.08392610333096742,0.11719452836388523,0.6128282257812231,0.5151260631779292,0.7093972355885908,0.09560549708092507,0.07969546717178848,0.11318073208568805,0.09560549708092507,0.07969546717178848,0.11318073208568805,0.09539782455422519,0.07945583945218775,0.11317431840714207,0.15382181881971452,0.07048580444629499,0.23075426282088002,-1.2229464878946124,-1.7651931814627513,-0.6541816509703702,3.231234988935022,2.9752859570529373,3.4953993984107803,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.8988179479773061,0.8808923171492735,0.9148945042854861,0.8988179479773061,0.8808923171492735,0.9148945042854861,0.0,0.0,0.0,0.0,0.0,0.0,3045.96,2654.9,3453.5750000000003,342.885,276.925,415.15000000000003,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pneumonia,all_frontal,3403,289
0.550848205649224,0.5096597897582641,0.5940613884016517,0.2519774684470202,0.20622852598822924,0.3042014282485638,0.21147728419765946,0.18070204804602458,0.24733360921178937,0.2105193281982341,0.18003429363636408,0.24628020798549996,1.4416065163191636,1.2374863277613022,1.6870114986001468,0.20954716182281075,0.17910050462591082,0.2453742564593383,0.20954716182281075,0.17910050462591082,0.2453742564593383,0.20954716182281075,0.17910050462591084,0.24537425645933833,0.11226706948056314,0.008121868027585384,0.2166422104502143,-0.5450188755013697,-1.2377451834451667,0.20970914466607576,5.202437454166086,4.975430787846074,5.4384024581670465,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.7885227158023405,0.7526663907882106,0.8192979519539754,0.7885227158023405,0.7526663907882106,0.8192979519539754,0.0,0.0,0.0,0.0,0.0,0.0,2671.22,2335.475,2971.8500000000004,717.625,561.0,907.1500000000001,0.550848205649224,0.5096597897582641,0.5940613884016517,0.2519774684470202,0.20622852598822924,0.3042014282485638,0.21147728419765946,0.18070204804602458,0.24733360921178937,0.2105193281982341,0.18003429363636408,0.24628020798549996,1.4416065163191636,1.2374863277613022,1.6870114986001468,0.20954716182281075,0.17910050462591082,0.2453742564593383,0.20954716182281075,0.17910050462591082,0.2453742564593383,0.20954716182281075,0.17910050462591084,0.24537425645933833,0.11226706948056314,0.008121868027585384,0.2166422104502143,-0.5450188755013697,-1.2377451834451667,0.20970914466607576,5.202437454166086,4.975430787846074,5.4384024581670465,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.7885227158023405,0.7526663907882106,0.8192979519539754,0.7885227158023405,0.7526663907882106,0.8192979519539754,0.0,0.0,0.0,0.0,0.0,0.0,2671.22,2335.475,2971.8500000000004,717.625,561.0,907.1500000000001,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Edema,all_frontal,3403,289
0.6394882295368782,0.6004365014038814,0.6697795041800881,0.5046493432437658,0.43973802659485706,0.5665010604916284,0.35908174591112363,0.315004642031614,0.40636523575631817,0.2952562194676061,0.2612609286855059,0.33411756407575616,1.2383262804298745,1.0778672648001484,1.389934939328772,0.2787258973369061,0.23641322651141292,0.3249165558631456,0.2787258973369061,0.23641322651141292,0.3249165558631456,0.2744245002543573,0.23220499931725574,0.31811730671438326,0.21512906159059003,0.15032184553998001,0.27001515657275216,0.1991641988891507,-0.1372130241061728,0.49518530433504027,2.6918154259057148,2.371579854363906,2.9845182993523283,0.05136284041011169,0.03498380468846985,0.07045082108307225,0.9826746965241503,0.9740914553159193,0.989714038552565,0.6247576852703843,0.5123188405797102,0.7294306506849315,0.6489721543602559,0.6009545682344631,0.6907568489881634,0.6482851028675306,0.6028296857383639,0.6890755300610294,44.095,29.0,64.025,26.495,15.950000000000008,39.025000000000006,1506.05,1321.9,1711.1,815.845,666.95,992.3500000000001,0.6394882295368782,0.6004365014038814,0.6697795041800881,0.5046493432437658,0.43973802659485706,0.5665010604916284,0.35908174591112363,0.315004642031614,0.40636523575631817,0.2952562194676061,0.2612609286855059,0.33411756407575616,1.2383262804298745,1.0778672648001484,1.389934939328772,0.2787258973369061,0.23641322651141292,0.3249165558631456,0.2787258973369061,0.23641322651141292,0.3249165558631456,0.2744245002543573,0.23220499931725574,0.31811730671438326,0.21512906159059003,0.15032184553998001,0.27001515657275216,0.1991641988891507,-0.1372130241061728,0.49518530433504027,2.6918154259057148,2.371579854363906,2.9845182993523283,0.05136284041011169,0.03498380468846985,0.07045082108307225,0.9826746965241503,0.9740914553159193,0.989714038552565,0.6247576852703843,0.5123188405797102,0.7294306506849315,0.6489721543602559,0.6009545682344631,0.6907568489881634,0.6482851028675306,0.6028296857383639,0.6890755300610294,44.095,29.0,64.025,26.495,15.950000000000008,39.025000000000006,1506.05,1321.9,1711.1,815.845,666.95,992.3500000000001,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pleural Effusion,ap_view,2405,269
0.5366445014777227,0.49996411918495415,0.5724247579218473,0.31327697021352785,0.27994633830029897,0.3469319487578822,0.2992283473469022,0.26893339055599835,0.33265922206955945,0.26695251641435613,0.24354159468419267,0.29284122448673144,1.0645880116670368,0.9389274349900546,1.1941224814373623,0.22594533998796934,0.20019105513564345,0.2563503574828455,0.22594533998796934,0.20019105513564345,0.2563503574828455,0.22263961281470387,0.19600678734917468,0.25407854183908896,0.055410974435217655,0.006132147283020123,0.11068235004887478,-0.681083065770553,-0.8650916175133101,-0.5140062791054975,1.4819276200906675,1.1517491230178227,1.8160046840675526,0.06276357274196655,0.04122731232757369,0.08578556211111885,0.9275861860360187,0.9086009900687347,0.9436551141966733,0.2695722196364585,0.1999618320610687,0.3513729784366577,0.6985806370323712,0.666831681298971,0.7312960332126642,0.6687629509003916,0.6366144379895982,0.6986170514444554,44.84,29.975000000000005,62.05000000000001,121.26,89.0,157.0,1554.46,1378.925,1772.0,671.925,553.85,811.45,0.5366445014777227,0.49996411918495415,0.5724247579218473,0.31327697021352785,0.27994633830029897,0.3469319487578822,0.2992283473469022,0.26893339055599835,0.33265922206955945,0.26695251641435613,0.24354159468419267,0.29284122448673144,1.0645880116670368,0.9389274349900546,1.1941224814373623,0.22594533998796934,0.20019105513564345,0.2563503574828455,0.22594533998796934,0.20019105513564345,0.2563503574828455,0.22263961281470387,0.19600678734917468,0.25407854183908896,0.055410974435217655,0.006132147283020123,0.11068235004887478,-0.681083065770553,-0.8650916175133101,-0.5140062791054975,1.4819276200906675,1.1517491230178227,1.8160046840675526,0.06276357274196655,0.04122731232757369,0.08578556211111885,0.9275861860360187,0.9086009900687347,0.9436551141966733,0.2695722196364585,0.1999618320610687,0.3513729784366577,0.6985806370323712,0.666831681298971,0.7312960332126642,0.6687629509003916,0.6366144379895982,0.6986170514444554,44.84,29.975000000000005,62.05000000000001,121.26,89.0,157.0,1554.46,1378.925,1772.0,671.925,553.85,811.45,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Cardiomegaly,ap_view,2405,269
0.5730703959278682,0.5298588413668668,0.6185286035845482,0.11243297170099216,0.08768236521848978,0.14104413925775525,0.08829134702676913,0.076022441457032,0.10320390647186899,0.08743099151608096,0.07526556243360735,0.10234734439243287,0.5821890152908243,0.49718508983645643,0.6910407065514125,0.08401025065128331,0.07202391136273957,0.0991772619900942,0.08401025065128331,0.07202391136273957,0.0991772619900942,0.08383756168914169,0.07165084026221673,0.09916689061718428,0.1144673582840446,0.03922074690798354,0.1883516510144369,-1.5628258689557781,-2.112039370225464,-1.03052888530873,3.3708799324034584,3.1012896478611625,3.6620757182930967,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.9117086529732309,0.896796093528131,0.9239775585429679,0.9117086529732309,0.896796093528131,0.9239775585429679,0.0,0.0,0.0,0.0,0.0,0.0,2181.24,1928.95,2484.175,211.245,173.975,254.05,0.5730703959278682,0.5298588413668668,0.6185286035845482,0.11243297170099216,0.08768236521848978,0.14104413925775525,0.08829134702676913,0.076022441457032,0.10320390647186899,0.08743099151608096,0.07526556243360735,0.10234734439243287,0.5821890152908243,0.49718508983645643,0.6910407065514125,0.08401025065128331,0.07202391136273957,0.0991772619900942,0.08401025065128331,0.07202391136273957,0.0991772619900942,0.08383756168914169,0.07165084026221673,0.09916689061718428,0.1144673582840446,0.03922074690798354,0.1883516510144369,-1.5628258689557781,-2.112039370225464,-1.03052888530873,3.3708799324034584,3.1012896478611625,3.6620757182930967,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.9117086529732309,0.896796093528131,0.9239775585429679,0.9117086529732309,0.896796093528131,0.9239775585429679,0.0,0.0,0.0,0.0,0.0,0.0,2181.24,1928.95,2484.175,211.245,173.975,254.05,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pneumonia,ap_view,2405,269
0.5733218936552756,0.5301890891457649,0.6140516197799141,0.324886968802995,0.27433169670930324,0.37856758918967814,0.26310752803538917,0.22690499536398184,0.301257180577702,0.2620627158307583,0.22602198763798717,0.29978904299084896,1.831366675670182,1.5779038605203783,2.0994320050034845,0.26148225968992983,0.22531979484236156,0.2993993555997798,0.26148225968992983,0.22531979484236156,0.2993993555997798,0.26148225968992983,0.22531979484236156,0.29939935559977987,0.17093465515434048,0.0696110001678037,0.27425146806197537,0.1839306539879952,-0.5474533963388597,0.9153702949227512,5.757550295168029,5.538196759348827,5.966135239129472,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.7368924719646108,0.698742819422298,0.7730950046360181,0.7368924719646108,0.698742819422298,0.7730950046360181,0.0,0.0,0.0,0.0,0.0,0.0,1762.12,1566.875,1982.05,630.365,499.95,797.1,0.5733218936552756,0.5301890891457649,0.6140516197799141,0.324886968802995,0.27433169670930324,0.37856758918967814,0.26310752803538917,0.22690499536398184,0.301257180577702,0.2620627158307583,0.22602198763798717,0.29978904299084896,1.831366675670182,1.5779038605203783,2.0994320050034845,0.26148225968992983,0.22531979484236156,0.2993993555997798,0.26148225968992983,0.22531979484236156,0.2993993555997798,0.26148225968992983,0.22531979484236156,0.29939935559977987,0.17093465515434048,0.0696110001678037,0.27425146806197537,0.1839306539879952,-0.5474533963388597,0.9153702949227512,5.757550295168029,5.538196759348827,5.966135239129472,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.7368924719646108,0.698742819422298,0.7730950046360181,0.7368924719646108,0.698742819422298,0.7730950046360181,0.0,0.0,0.0,0.0,0.0,0.0,1762.12,1566.875,1982.05,630.365,499.95,797.1,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Edema,ap_view,2405,269
0.8597882460462829,0.8165217124537361,0.894679935531295,0.7124760838212876,0.6395841351838418,0.7745701192023897,0.23194465102445647,0.1807336930207477,0.2889712968386841,0.12054550882624714,0.0966323544224417,0.1487208893291501,0.405574629193775,0.33287365590424556,0.5047884180195379,0.08058897027440023,0.04849980201289102,0.116332327801006,0.08058897027440023,0.04849980201289102,0.116332327801006,0.08025916631168849,0.04883573805559754,0.11633232780100602,0.9086389879478183,0.7045231985144651,1.0995227955461002,0.6529420697347771,0.3467798241779826,1.022510226138377,0.8040540190909817,0.5118271528913744,1.1009573839007245,0.3434197376050949,0.2640423332358715,0.4341723125564589,0.982118270533476,0.9724715688883233,0.990559545673182,0.8525121266291835,0.7812102754237288,0.9109313118811881,0.8319469538472891,0.7831138447570358,0.874862772912298,0.8341017597760003,0.7882117986751968,0.8728754453249459,80.02,54.95000000000001,112.0,13.745,7.0,21.0,758.575,644.75,887.025,153.07,111.0,204.0,0.8597882460462829,0.8165217124537361,0.894679935531295,0.7124760838212876,0.6395841351838418,0.7745701192023897,0.23194465102445647,0.1807336930207477,0.2889712968386841,0.12054550882624714,0.0966323544224417,0.1487208893291501,0.405574629193775,0.33287365590424556,0.5047884180195379,0.08058897027440023,0.04849980201289102,0.116332327801006,0.08058897027440023,0.04849980201289102,0.116332327801006,0.08025916631168849,0.04883573805559754,0.11633232780100602,0.9086389879478183,0.7045231985144651,1.0995227955461002,0.6529420697347771,0.3467798241779826,1.022510226138377,0.8040540190909817,0.5118271528913744,1.1009573839007245,0.3434197376050949,0.2640423332358715,0.4341723125564589,0.982118270533476,0.9724715688883233,0.990559545673182,0.8525121266291835,0.7812102754237288,0.9109313118811881,0.8319469538472891,0.7831138447570358,0.874862772912298,0.8341017597760003,0.7882117986751968,0.8728754453249459,80.02,54.95000000000001,112.0,13.745,7.0,21.0,758.575,644.75,887.025,153.07,111.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Pleural Effusion,pa_view,998,203
0.7272338844777068,0.6695861032675471,0.7803050225744375,0.3202269143401476,0.25571975113460743,0.3872038200265349,0.17066087885935843,0.13119859172482554,0.20363924050632914,0.2041740492415358,0.17003302005802096,0.23693684903436427,0.586112983998978,0.4905055784837653,0.6767693079664087,0.20153651219605387,0.15362263975552073,0.24653800886148944,0.20153651219605387,0.15362263975552073,0.24653800886148944,0.20189751658520183,0.156342973530772,0.24671959742119742,0.45384272584080326,0.3310453564219938,0.5904896208379623,-1.3384475889380563,-1.5792745140371856,-1.1044443264720685,-1.5306989601525314,-1.846386716340745,-1.2055422189159302,0.656228079265672,0.5526113467656416,0.7501096491228071,0.6841672660244995,0.6045317062995411,0.7603376361081841,0.29997518873942214,0.249981884057971,0.3542830743933736,0.9062572116817157,0.8684531856627843,0.9381195189175645,0.6798562239099772,0.6218108438646556,0.7365672118579095,112.52,81.97500000000001,150.0,262.85,204.0,340.3750000000001,571.335,460.875,689.025,58.705,41.975,80.025,0.7272338844777068,0.6695861032675471,0.7803050225744375,0.3202269143401476,0.25571975113460743,0.3872038200265349,0.17066087885935843,0.13119859172482554,0.20363924050632914,0.2041740492415358,0.17003302005802096,0.23693684903436427,0.586112983998978,0.4905055784837653,0.6767693079664087,0.20153651219605387,0.15362263975552073,0.24653800886148944,0.20153651219605387,0.15362263975552073,0.24653800886148944,0.20189751658520183,0.156342973530772,0.24671959742119742,0.45384272584080326,0.3310453564219938,0.5904896208379623,-1.3384475889380563,-1.5792745140371856,-1.1044443264720685,-1.5306989601525314,-1.846386716340745,-1.2055422189159302,0.656228079265672,0.5526113467656416,0.7501096491228071,0.6841672660244995,0.6045317062995411,0.7603376361081841,0.29997518873942214,0.249981884057971,0.3542830743933736,0.9062572116817157,0.8684531856627843,0.9381195189175645,0.6798562239099772,0.6218108438646556,0.7365672118579095,112.52,81.97500000000001,150.0,262.85,204.0,340.3750000000001,571.335,460.875,689.025,58.705,41.975,80.025,0.0,0.0,0.0,0.0,0.0,0.0,200,anchor_densenet121_unweighted_bce_seed123,densenet121,unweighted_bce,123,Cardiomegaly,pa_view,998,203
