analysis_type,architecture,loss_type,seed,stratum_subset,temporal_bin,target,n_total,n_pos,auroc,brier,ece,notes
view_position_stratification,densenet121,weighted_bce,123,AP,T3_2017,Pleural Effusion,303,5,0.8805369127516779,0.145981222704764,,Stratified evaluation for ViewPosition=AP
view_position_stratification,densenet121,weighted_bce,123,L,T1_2015,Pleural Effusion,442,20,0.9342417061611374,0.10704412169363367,,Stratified evaluation for ViewPosition=L
view_position_stratification,densenet121,weighted_bce,123,L,T2_2016,Pleural Effusion,894,35,0.9233327789788791,0.1286565713386041,,Stratified evaluation for ViewPosition=L
view_position_stratification,densenet121,weighted_bce,123,L,T3_2017,Pleural Effusion,537,11,0.9165226408572416,0.1123106725478059,,Stratified evaluation for ViewPosition=L
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins5,T1_2015,Pleural Effusion,1879,99,,,0.19525761249167384,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins5,T2_2016,Pleural Effusion,3987,177,,,0.2213459035934348,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins5,T3_2017,Pleural Effusion,2436,85,,,0.21808779711968132,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins10,T1_2015,Pleural Effusion,1879,99,,,0.19525762119822643,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins10,T2_2016,Pleural Effusion,3987,177,,,0.22134588999570476,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins10,T3_2017,Pleural Effusion,2436,85,,,0.21808780107206752,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins15,T1_2015,Pleural Effusion,1879,99,,,0.1952576287033283,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins15,T2_2016,Pleural Effusion,3987,177,,,0.22134589993588558,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,123,quantile_bins15,T3_2017,Pleural Effusion,2436,85,,,0.21808778140800952,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins5,T1_2015,Pleural Effusion,1879,99,,,0.1952576095703246,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins5,T2_2016,Pleural Effusion,3987,177,,,0.22134590815310795,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins5,T3_2017,Pleural Effusion,2436,85,,,0.2180877984891384,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins10,T1_2015,Pleural Effusion,1879,99,,,0.19525761469730737,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins10,T2_2016,Pleural Effusion,3987,177,,,0.22134589563175971,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins10,T3_2017,Pleural Effusion,2436,85,,,0.21808777873408916,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins15,T1_2015,Pleural Effusion,1879,99,,,0.19525762132312977,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins15,T2_2016,Pleural Effusion,3987,177,,,0.2213458934107878,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,123,uniform_bins15,T3_2017,Pleural Effusion,2436,85,,,0.21808778583599722,ECE sensitivity: uniform binning with M=15
view_position_stratification,resnet50,weighted_bce,42,PA,T1_2015,Pleural Effusion,646,21,0.8578666666666667,0.1462494874468877,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,42,PA,T2_2016,Pleural Effusion,1379,38,0.8332548373170061,0.15211205178164264,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,42,PA,T3_2017,Pleural Effusion,838,18,0.7852981029810299,0.14873926792231829,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,42,AP,T1_2015,Pleural Effusion,192,6,0.4982078853046595,0.20832484247704564,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,42,AP,T2_2016,Pleural Effusion,479,15,0.6855603448275862,0.21405525353178992,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,42,AP,T3_2017,Pleural Effusion,303,5,0.5869127516778524,0.21730318940893487,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,42,L,T1_2015,Pleural Effusion,442,20,0.85989336492891,0.11476195734228742,,Stratified evaluation for ViewPosition=L
view_position_stratification,resnet50,weighted_bce,42,L,T2_2016,Pleural Effusion,894,35,0.8600199567603526,0.11929215772668346,,Stratified evaluation for ViewPosition=L
view_position_stratification,resnet50,weighted_bce,42,L,T3_2017,Pleural Effusion,537,11,0.7961458693397857,0.11676435350034867,,Stratified evaluation for ViewPosition=L
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins5,T1_2015,Pleural Effusion,1879,99,,,0.300796008747648,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins5,T2_2016,Pleural Effusion,3987,177,,,0.3155774054130815,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins5,T3_2017,Pleural Effusion,2436,85,,,0.3239149443058936,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins10,T1_2015,Pleural Effusion,1879,99,,,0.3007959922366221,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins10,T2_2016,Pleural Effusion,3987,177,,,0.3155774249374523,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins10,T3_2017,Pleural Effusion,2436,85,,,0.3239149437125387,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins15,T1_2015,Pleural Effusion,1879,99,,,0.3007959994056746,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins15,T2_2016,Pleural Effusion,3987,177,,,0.3155774130823022,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,42,quantile_bins15,T3_2017,Pleural Effusion,2436,85,,,0.32391494133300186,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins5,T1_2015,Pleural Effusion,1879,99,,,0.3007960127286926,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins5,T2_2016,Pleural Effusion,3987,177,,,0.31557740203817597,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins5,T3_2017,Pleural Effusion,2436,85,,,0.3239149754295012,ECE sensitivity: uniform binning with M=5
