architecture,temporal_bin,target,temperature,auroc,ece_uncalibrated,ece_recalibrated,ece_delta_pct,brier_uncalibrated,brier_recalibrated,brier_delta_pct
densenet121,T1_2015,Pleural Effusion,1.7290090322494507,0.901998784009728,0.28592826417816686,0.32958449213437635,15.268245020018917,0.18251073360443115,0.17881454527378082,-2.02518956428138
densenet121,T1_2015,Cardiomegaly,2.0331363677978516,0.7501803891966298,0.36764455501809123,0.3874518408121248,5.3876184275485555,0.29039478302001953,0.24941572546958923,-14.111499223319463
densenet121,T1_2015,Pneumonia,1.8525390625,0.7649173995233007,0.3552874456189997,0.3900821648779925,9.793399594621668,0.23395666480064392,0.21747826039791107,-7.043357545199326
densenet121,T1_2015,Edema,0.9427210092544556,0.7099447513812154,0.07952815590828967,0.07493127494210929,-5.780193082160006,0.03906979411840439,0.03886910527944565,-0.5136675108922646
densenet121,T2_2016,Pleural Effusion,1.7290090322494507,0.854624591138864,0.3042875523755066,0.345634051197463,13.587969175595024,0.20249506831169128,0.19430020451545715,-4.046944878489661
densenet121,T2_2016,Cardiomegaly,2.0331363677978516,0.7413152158697782,0.35653379457321993,0.36974039406281245,3.704164847935707,0.2943829596042633,0.25260916352272034,-14.190290136935626
densenet121,T2_2016,Pneumonia,1.8525390625,0.7836069779374037,0.3698334127490338,0.4033500374689874,9.062627541091786,0.24596934020519257,0.22651301324367523,-7.910061857826051
densenet121,T2_2016,Edema,0.9427210092544556,0.6547582084918109,0.08071141306527271,0.0758288851916895,-6.0493648768540735,0.03659406676888466,0.03628190979361534,-0.8530261947675618
densenet121,T3_2017,Pleural Effusion,1.7290090322494507,0.8434608552055446,0.30101374869520836,0.34491605034529277,14.584816089094224,0.19518481194972992,0.18876436352729797,-3.289420092832602
densenet121,T3_2017,Cardiomegaly,2.0331363677978516,0.7526765185327553,0.3524301091915575,0.3687632462049548,4.634432923697712,0.2898639440536499,0.2504706084728241,-13.59028481774009
densenet121,T3_2017,Pneumonia,1.8525390625,0.7972296730930426,0.36950121340548314,0.40298456844242136,9.061771334481184,0.24507483839988708,0.22616887092590332,-7.714364965992558
densenet121,T3_2017,Edema,0.9427210092544556,,0.08338073369311336,0.07844552126283372,-5.9188882271579875,0.03382544219493866,0.033478107303380966,-1.0268450876590922
