architecture,temporal_bin,target,temperature,auroc,ece_uncalibrated,ece_recalibrated,ece_delta_pct,brier_uncalibrated,brier_recalibrated,brier_delta_pct
resnet50,T1_2015,Pleural Effusion,1.491188883781433,0.8877374981000151,0.11190871323076171,0.13491370527339505,20.556926604272384,0.0946345180273056,0.0907796174287796,-4.073461437626509
resnet50,T1_2015,Cardiomegaly,1.8546879291534424,0.8324350876413974,0.2856421629987789,0.31255954957526666,9.423464062132453,0.21479232609272003,0.19398191571235657,-9.68861912291046
resnet50,T1_2015,Pneumonia,2.1627328395843506,0.732233363469494,0.3237526985746509,0.352393336480042,8.846455344305697,0.2619878053665161,0.22688379883766174,-13.399099427450262
resnet50,T1_2015,Edema,1.2040319442749023,0.6726519337016574,0.0506506445866126,0.05581129909865445,10.188724258419118,0.033620450645685196,0.03332041949033737,-0.8924067036154665
resnet50,T2_2016,Pleural Effusion,1.491188883781433,0.8297628605411835,0.12824668820880902,0.1481856444627159,15.547345925566994,0.10396908223628998,0.09957772493362427,-4.223714596889002
resnet50,T2_2016,Cardiomegaly,1.8546879291534424,0.8006539084528168,0.2803037190795327,0.3003827444656368,7.163310373490582,0.22828900814056396,0.20436064898967743,-10.481608092209665
resnet50,T2_2016,Pneumonia,2.1627328395843506,0.8051564905079529,0.3276148682531847,0.3603062434442789,9.97859937352719,0.2543865144252777,0.22290395200252533,-12.375877115136904
resnet50,T2_2016,Edema,1.2040319442749023,0.6442501746487619,0.04591519933585935,0.05196291653953187,13.171492863256079,0.028299663215875626,0.028435634449124336,0.480469439553023
resnet50,T3_2017,Pleural Effusion,1.491188883781433,0.8447569244626816,0.12969732193401684,0.15074766827640176,16.230363147432012,0.10131137818098068,0.09678970277309418,-4.463146676189788
resnet50,T3_2017,Cardiomegaly,1.8546879291534424,0.8044522035008292,0.276527448060306,0.29866381946107,8.005126274458096,0.22391746938228607,0.20205575227737427,-9.763292326061482
resnet50,T3_2017,Pneumonia,2.1627328395843506,0.7820201173512153,0.31939751673902705,0.3531896452005029,10.579959671097464,0.24714569747447968,0.2179398536682129,-11.817257635764664
resnet50,T3_2017,Edema,1.2040319442749023,,0.04984167090954324,0.055718525812146064,11.791047120528173,0.02607891522347927,0.02608591690659523,0.026848061186438607
