architecture,target,temporal_bin,calibration_method,metric,unweighted_mean,weighted_mean,difference
densenet121,Edema,T3_2017,raw,brier_score,1.3643181491431213e-05,0.05444934496795171,0.054435701786460275
densenet121,Edema,T3_2017,raw,log_loss,0.0026243325425024627,0.1830470769772771,0.18042274443477463
densenet121,Edema,T3_2017,raw,ece_equal_mass,0.0026174805416524266,0.11497922418951056,0.11236174364785814
densenet121,Edema,T3_2017,raw,auroc,,,
densenet121,Edema,T1_2015,temperature,brier_score,0.0021280040465923755,0.0537336582256602,0.051605654179067824
densenet121,Edema,T1_2015,temperature,log_loss,0.016393738473156574,0.18502631073330633,0.16863257226014977
densenet121,Edema,T1_2015,temperature,ece_equal_mass,0.003153635174051291,0.10554553510149356,0.10239189992744227
densenet121,Edema,T1_2015,temperature,auroc,0.42161666666666664,0.5866333333333333,0.1650166666666667
densenet121,Edema,T2_2016,temperature,brier_score,0.00323017320560981,0.05736994678569841,0.0541397735800886
densenet121,Edema,T2_2016,temperature,log_loss,0.019518562291555488,0.1901737873034149,0.1706552250118594
densenet121,Edema,T2_2016,temperature,ece_equal_mass,0.002705192976086803,0.11143708001964839,0.10873188704356158
densenet121,Edema,T2_2016,temperature,auroc,0.8764565831752544,0.8816562463706399,0.005199663195385451
densenet121,Edema,T3_2017,temperature,brier_score,1.0077735850181974e-05,0.05396398367095223,0.05395390593510205
densenet121,Edema,T3_2017,temperature,log_loss,0.002310995951045851,0.17745482592816908,0.17514382997712322
densenet121,Edema,T3_2017,temperature,ece_equal_mass,0.0023059281861594794,0.11143759513718894,0.10913166695102947
densenet121,Edema,T3_2017,temperature,auroc,,,
densenet121,Edema,T1_2015,offset,brier_score,0.0021303832656807448,0.002475059796653139,0.000344676530972394
densenet121,Edema,T1_2015,offset,log_loss,0.016349418860409595,0.01995369402353881,0.0036042751631292155
densenet121,Edema,T1_2015,offset,ece_equal_mass,0.0029650207228708444,0.0029415623562852383,-2.3458366585606127e-05
