architecture,loss_type,seed,target,temporal_bin,eval_mode,calibration_method,brier_score,log_loss,ece_equal_mass,ece_equal_width,auroc,auprc,calibration_slope,calibration_intercept,n_total,n_pos,prevalence,pos_weight
densenet121,unweighted_bce,42,Cardiomegaly,T1_2015,out_of_sample_cross_fitted,raw,0.05306797276959374,0.1796363222292361,0.014257124844319187,0.024455211615626218,0.9128529009756328,0.4868484087001699,0.7812500412053145,-0.04620333153393196,1879,147,0.07823310271420969,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T1_2015,out_of_sample_cross_fitted,temperature,0.05216365890239045,0.17438141338560742,0.006231259547317622,0.00943934615563538,0.9121655590642723,0.4873812323726765,0.9787984394230369,-0.051385598667605115,1879,147,0.07823310271420969,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T1_2015,out_of_sample_cross_fitted,offset,0.05354077051116344,0.17890861398321664,0.017299791503807675,0.019325717089410235,0.9117924305981053,0.47962488889606536,0.7744203879285241,-0.28588851104858787,1879,147,0.07823310271420969,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T1_2015,out_of_sample_cross_fitted,platt,0.052616920981745204,0.17554579304972803,0.006396097929438475,0.009061778100909284,0.9111797143799784,0.4714405203119804,0.9869220377001116,-0.005214416595453828,1879,147,0.07823310271420969,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T2_2016,out_of_sample_prospective,raw,0.0672686167179823,0.2290992410240546,0.033491053094450295,0.0338294919750259,0.9040816123049926,0.5526300696856027,0.8003802881866313,0.3110027787963402,3987,422,0.10584399297717582,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T2_2016,out_of_sample_prospective,temperature,0.06565583995630565,0.21668655683660767,0.019448479988603704,0.01892006119554288,0.9040816123049926,0.5526300696856027,1.008880317576381,0.3116355103493551,3987,422,0.10584399297717582,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T2_2016,out_of_sample_prospective,offset,0.06579757237318785,0.22108116437364952,0.019864472808705853,0.026422113054673867,0.9040816123049926,0.5526300696856027,0.8005562446754944,0.0671924959486905,3987,422,0.10584399297717582,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T2_2016,out_of_sample_prospective,platt,0.06584597519148157,0.21716005198672908,0.02091738034177823,0.01999354139868491,0.9040816123049926,0.5526300696856027,1.0249302342322273,0.35909420314626084,3987,422,0.10584399297717582,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T3_2017,out_of_sample_prospective,raw,0.06662046579745294,0.22091691400192073,0.029439357281769076,0.03235296492310747,0.9146966493689539,0.5349413862651651,0.7942029725290523,0.25685332069378164,2436,258,0.10591133004926108,1.0
densenet121,unweighted_bce,42,Cardiomegaly,T3_2017,out_of_sample_prospective,temperature,0.06485714361976476,0.20990276477541975,0.01788133634642447,0.01589786301946899,0.9146966493689539,0.5349413862651651,1.0011699981519944,0.2574399978604743,2436,258,0.10591133004926108,1.0
